Time :1390156064 | POS x : -0.115425 | POS y : 6.93038 | State : 2 |
Time :1390156064 | POS x : -0.109162 | POS y : 5.93139 | State : 2 |
Time :1390156064 | POS x : -0.102947 | POS y : 4.93241 | State : 2 |
Time :1390156064 | POS x : -0.096782 | POS y : 3.93342 | State : 2 |
Time :1390156065 | POS x : -0.0875369 | POS y : 4.93439 | State : 3 |
Time :1390156065 | POS x : 0.151932 | POS y : 7.31981 | State : 3 |
Time :1390156066 | POS x : 0.160177 | POS y : 8.32078 | State : 3 |
Time :1390156066 | POS x : 0.167922 | POS y : 9.32176 | State : 3 |
Time :1390156066 | POS x : 0.175167 | POS y : 10.3227 | State : 3 |
Time :1390156066 | POS x : 0.181913 | POS y : 11.3237 | State : 3 |
Time :1390156066 | POS x : 0.188158 | POS y : 12.3247 | State : 3 |
Time :1390156067 | POS x : 0.193903 | POS y : 13.3257 | State : 3 |
Time :1390156067 | POS x : 0.199149 | POS y : 14.3267 | State : 3 |
Time :1390156067 | POS x : 0.203894 | POS y : 15.3277 | State : 3 |
Time :1390156067 | POS x : 0.20814 | POS y : 16.3287 | State : 3 |
Time :1390156067 | POS x : -0.110063 | POS y : 15.382 | State : 0 |
Time :1390156068 | POS x : -1.06264 | POS y : 15.0818 | State : 4 |
Time :1390156068 | POS x : -2.0187 | POS y : 15.3727 | State : 1 |
Time :1390156068 | POS x : -1.97261 | POS y : 14.3747 | State : 1 |
Time :1390156068 | POS x : -2.08624 | POS y : 13.3823 | State : 1 |
Time :1390156068 | POS x : -1.11257 | POS y : 13.6155 | State : 1 |
Time :1390156069 | POS x : -0.112205 | POS y : 13.5808 | State : 1 |
Time :1390156069 | POS x : 0.839803 | POS y : 13.891 | State : 1 |
Time :1390156069 | POS x : 1.70647 | POS y : 14.3926 | State : 1 |
Time :1390156069 | POS x : 2.40107 | POS y : 15.114 | State : 1 |
Time :1390156069 | POS x : 3.39555 | POS y : 15.229 | State : 1 |
Time :1390156070 | POS x : 4.33168 | POS y : 14.8757 | State : 4 |
Time :1390156070 | POS x : 4.18919 | POS y : 13.8871 | State : 2 |
Time :1390156071 | POS x : 4.04667 | POS y : 12.8984 | State : 2 |
Time :1390156071 | POS x : 3.90412 | POS y : 11.9098 | State : 2 |
Time :1390156071 | POS x : 3.76154 | POS y : 10.9211 | State : 2 |
Time :1390156071 | POS x : 3.61893 | POS y : 9.9325 | State : 2 |
Time :1390156071 | POS x : 3.47629 | POS y : 8.94387 | State : 2 |
Time :1390156072 | POS x : 3.33361 | POS y : 7.95524 | State : 2 |
Time :1390156072 | POS x : 3.19089 | POS y : 6.96662 | State : 2 |
Time :1390156072 | POS x : 3.04814 | POS y : 5.97801 | State : 2 |
Time :1390156072 | POS x : 2.90535 | POS y : 4.9894 | State : 2 |
Time :1390156072 | POS x : 2.76252 | POS y : 4.0008 | State : 2 |
Time :1390156073 | POS x : 2.87482 | POS y : 4.99558 | State : 3 |
Time :1390156073 | POS x : 2.98663 | POS y : 5.99043 | State : 3 |
Time :1390156073 | POS x : 3.09794 | POS y : 6.98532 | State : 3 |
Time :1390156074 | POS x : 3.20875 | POS y : 7.98028 | State : 3 |
Time :1390156074 | POS x : 3.31907 | POS y : 8.97528 | State : 3 |
Time :1390156074 | POS x : 3.42889 | POS y : 9.97034 | State : 3 |
Time :1390156074 | POS x : 3.53821 | POS y : 10.9655 | State : 3 |
Time :1390156074 | POS x : 3.64704 | POS y : 11.9606 | State : 3 |
Time :1390156075 | POS x : 3.75537 | POS y : 12.9559 | State : 3 |
Time :1390156075 | POS x : 3.8632 | POS y : 13.9511 | State : 3 |
Time :1390156075 | POS x : 3.97053 | POS y : 14.9465 | State : 3 |
Time :1390156075 | POS x : 4.07737 | POS y : 15.9418 | State : 3 |
Time :1390156075 | POS x : 4.18371 | POS y : 16.9373 | State : 3 |
Time :1390156076 | POS x : 4.50461 | POS y : 15.9908 | State : 0 |
Time :1390156076 | POS x : 5.34471 | POS y : 15.4478 | State : 0 |
Time :1390156076 | POS x : 4.43408 | POS y : 15.8599 | State : 0 |
Time :1390156076 | POS x : 3.57047 | POS y : 15.3584 | State : 4 |
Time :1390156076 | POS x : 4.33926 | POS y : 14.7187 | State : 4 |
Time :1390156077 | POS x : 4.19578 | POS y : 13.7302 | State : 2 |
Time :1390156077 | POS x : 4.05227 | POS y : 12.7417 | State : 2 |
Time :1390156078 | POS x : 3.90873 | POS y : 11.7532 | State : 2 |
Time :1390156078 | POS x : 3.76516 | POS y : 10.7647 | State : 2 |
Time :1390156078 | POS x : 3.62156 | POS y : 9.77623 | State : 2 |
Time :1390156078 | POS x : 3.47793 | POS y : 8.78775 | State : 2 |
Time :1390156078 | POS x : 3.33426 | POS y : 7.79927 | State : 2 |
Time :1390156079 | POS x : 3.19056 | POS y : 6.81079 | State : 2 |
Time :1390156079 | POS x : 3.04681 | POS y : 5.82232 | State : 2 |
Time :1390156079 | POS x : 2.90303 | POS y : 4.83386 | State : 2 |
Time :1390156079 | POS x : 2.75921 | POS y : 3.8454 | State : 2 |
Time :1390156080 | POS x : 2.87026 | POS y : 4.84033 | State : 3 |
Time :1390156080 | POS x : 2.98082 | POS y : 5.83531 | State : 3 |
Time :1390156080 | POS x : 3.09089 | POS y : 6.83034 | State : 3 |
Time :1390156080 | POS x : 3.20045 | POS y : 7.82543 | State : 3 |
Time :1390156081 | POS x : 3.30952 | POS y : 8.82057 | State : 3 |
Time :1390156081 | POS x : 3.4181 | POS y : 9.81577 | State : 3 |
Time :1390156081 | POS x : 3.52617 | POS y : 10.811 | State : 3 |
Time :1390156081 | POS x : 3.63375 | POS y : 11.8063 | State : 3 |
Time :1390156081 | POS x : 3.74083 | POS y : 12.8017 | State : 3 |
Time :1390156082 | POS x : 3.84741 | POS y : 13.7971 | State : 3 |
Time :1390156082 | POS x : 3.9535 | POS y : 14.7926 | State : 3 |
Time :1390156082 | POS x : 4.05909 | POS y : 15.7881 | State : 3 |
Time :1390156082 | POS x : 4.16418 | POS y : 16.7836 | State : 3 |
Time :1390156082 | POS x : 5.08475 | POS y : 17.1776 | State : 0 |
Time :1390156083 | POS x : 5.39744 | POS y : 18.1288 | State : 0 |
Time :1390156083 | POS x : 5.15551 | POS y : 17.1597 | State : 0 |
Time :1390156083 | POS x : 6.05426 | POS y : 16.7202 | State : 0 |
Time :1390156083 | POS x : 5.32889 | POS y : 17.4085 | State : 0 |
Time :1390156083 | POS x : 4.33618 | POS y : 17.2975 | State : 0 |
Time :1390156084 | POS x : 5.31737 | POS y : 17.1005 | State : 0 |
Time :1390156084 | POS x : 4.55414 | POS y : 17.7464 | State : 0 |
Time :1390156084 | POS x : 3.61891 | POS y : 17.396 | State : 0 |
Time :1390156084 | POS x : 4.55491 | POS y : 17.0424 | State : 0 |
Time :1390156084 | POS x : 4.80161 | POS y : 16.074 | State : 0 |
Time :1390156085 | POS x : 4.72603 | POS y : 17.0721 | State : 1 |
Time :1390156085 | POS x : 5.34279 | POS y : 17.861 | State : 1 |
Time :1390156085 | POS x : 6.26966 | POS y : 18.2399 | State : 1 |
Time :1390156085 | POS x : 7.08602 | POS y : 18.8198 | State : 1 |
Time :1390156085 | POS x : 6.91128 | POS y : 19.8053 | State : 1 |
Time :1390156086 | POS x : 6.14368 | POS y : 20.446 | State : 1 |
Time :1390156086 | POS x : 5.79932 | POS y : 18.4326 | State : 1 |
Time :1390156087 | POS x : 6.0805 | POS y : 17.4736 | State : 1 |
Time :1390156087 | POS x : 6.98913 | POS y : 17.8944 | State : 1 |
Time :1390156087 | POS x : 6.63563 | POS y : 18.8305 | State : 1 |
Time :1390156087 | POS x : 5.79387 | POS y : 19.3698 | State : 1 |
Time :1390156088 | POS x : 5.43103 | POS y : 20.3022 | State : 1 |
Time :1390156088 | POS x : 4.89373 | POS y : 17.7086 | State : 1 |
Time :1390156088 | POS x : 4.778 | POS y : 16.7164 | State : 1 |
Time :1390156088 | POS x : 5.44063 | POS y : 15.9676 | State : 1 |
Time :1390156089 | POS x : 6.36737 | POS y : 15.5904 | State : 1 |
Time :1390156089 | POS x : 7.13822 | POS y : 16.2297 | State : 1 |
Time :1390156089 | POS x : 7.54569 | POS y : 17.1443 | State : 1 |
Time :1390156089 | POS x : 8.16658 | POS y : 17.93 | State : 1 |
Time :1390156089 | POS x : 8.93742 | POS y : 18.5693 | State : 1 |
Time :1390156090 | POS x : 9.87354 | POS y : 18.9246 | State : 1 |
Time :1390156090 | POS x : 9.21411 | POS y : 19.6765 | State : 1 |
Time :1390156090 | POS x : 8.30639 | POS y : 19.26 | State : 1 |
Time :1390156090 | POS x : 8.70583 | POS y : 18.3438 | State : 1 |
Time :1390156090 | POS x : 9.69852 | POS y : 18.4735 | State : 1 |
Time :1390156091 | POS x : 10.3969 | POS y : 19.1912 | State : 1 |
Time :1390156091 | POS x : 10.7798 | POS y : 20.1164 | State : 1 |
Time :1390156092 | POS x : 10.701 | POS y : 17.4312 | State : 1 |
Time :1390156092 | POS x : 11.6829 | POS y : 17.2375 | State : 1 |
Time :1390156092 | POS x : 12.6762 | POS y : 17.3622 | State : 1 |
Time :1390156092 | POS x : 12.624 | POS y : 18.3618 | State : 1 |
Time :1390156092 | POS x : 11.6661 | POS y : 18.6464 | State : 1 |
Time :1390156093 | POS x : 10.7095 | POS y : 18.3591 | State : 1 |
Time :1390156093 | POS x : 9.732 | POS y : 18.5662 | State : 1 |
Time :1390156094 | POS x : 9.16773 | POS y : 20.3919 | State : 1 |
Time :1390156094 | POS x : 10.6931 | POS y : 17.0262 | State : 1 |
Time :1390156094 | POS x : 11.61 | POS y : 16.6258 | State : 1 |
Time :1390156094 | POS x : 12.5347 | POS y : 16.2439 | State : 1 |
Time :1390156095 | POS x : 13.519 | POS y : 16.0629 | State : 1 |
Time :1390156095 | POS x : 13.8192 | POS y : 17.0181 | State : 1 |
Time :1390156095 | POS x : 14.5262 | POS y : 17.7273 | State : 1 |
Time :1390156095 | POS x : 13.6518 | POS y : 18.2118 | State : 1 |
Time :1390156095 | POS x : 13.2576 | POS y : 19.1314 | State : 1 |
Time :1390156096 | POS x : 12.551 | POS y : 19.8389 | State : 1 |
Time :1390156096 | POS x : 11.5771 | POS y : 20.0627 | State : 1 |
Time :1390156097 | POS x : 12.9548 | POS y : 18.2284 | State : 1 |
Time :1390156097 | POS x : 13.4063 | POS y : 19.1221 | State : 1 |
Time :1390156097 | POS x : 13.7099 | POS y : 20.0763 | State : 1 |
Time :1390156098 | POS x : 12.8299 | POS y : 17.2163 | State : 1 |
Time :1390156098 | POS x : 12.7367 | POS y : 16.2217 | State : 1 |
Time :1390156098 | POS x : 13.4992 | POS y : 15.5746 | State : 1 |
Time :1390156098 | POS x : 14.2994 | POS y : 16.1766 | State : 1 |
Time :1390156098 | POS x : 15.0686 | POS y : 16.8179 | State : 1 |
Time :1390156099 | POS x : 15.6635 | POS y : 17.6234 | State : 1 |
Time :1390156099 | POS x : 15.4035 | POS y : 18.5898 | State : 1 |
Time :1390156099 | POS x : 15.2808 | POS y : 19.5831 | State : 1 |
Time :1390156099 | POS x : 14.3917 | POS y : 19.1283 | State : 1 |
Time :1390156099 | POS x : 13.4298 | POS y : 18.8594 | State : 1 |
Time :1390156100 | POS x : 13.9124 | POS y : 17.984 | State : 1 |
Time :1390156100 | POS x : 14.9072 | POS y : 18.0964 | State : 1 |
Time :1390156100 | POS x : 15.2314 | POS y : 19.0438 | State : 1 |
Time :1390156100 | POS x : 14.2356 | POS y : 19.1246 | State : 1 |
Time :1390156100 | POS x : 13.2906 | POS y : 18.8015 | State : 1 |
